Location,avg_min_price,average rent prices
Acton (W3),904.0,904.0
Aldgate East (E1),1577.4285714285713,1598.857142857143
Angel (N1),1573.8333333333333,1573.8333333333333
Archway (N19),901.0,905.0
Balham (SW12),1211.8333333333333,1228.5
Battersea (SW11),1268.3333333333333,1268.3333333333333
Bermondsey (SE16),965.8571428571429,965.8571428571429
Bethnal Green (E2),920.4827586206897,966.1724137931035
Bow (E3),990.7142857142857,990.7142857142857
Brick Lane (E1),948.1666666666666,956.5
Brixton (SW2),1406.3333333333333,1421.0
Brixton (SW9),1233.3333333333333,1233.3333333333333
Caledonian Road (N7),1082.0,1102.0
Camden (NW1),1390.0,1395.5714285714287
Canada Water (SE16),1177.2727272727273,1181.8181818181818
Canary Wharf (E14),1086.4242424242425,1134.3939393939395
Catford (SE6),923.0,923.0
Chiswick (W4),1033.1666666666667,1033.1666666666667
Clapham (SW4),1183.888888888889,1195.0
Clapham Common (SW4),1182.5,1182.5
Colindale (NW9),861.2,861.2
Cricklewood (NW2),1217.2,1217.2
Dalston (N16),1228.0,1228.0
Docklands (E16),1319.0,1319.0
Ealing (W5),1025.8,1025.8
East Acton (W3),1126.2857142857142,1159.857142857143
East Village (E20),1147.4,1147.4
Elephant and Castle (SE17),1103.5,1103.5
Finsbury Park (N4),1222.5714285714287,1222.5714285714287
Forest Gate (E7),701.2,701.2
Forest Hill (SE23),980.0,980.0
Fulham (SW6),1188.5714285714287,1188.5714285714287
Greenwich (SE10),1015.0,1015.0
Hackney (E9),873.8888888888889,873.8888888888889
Hendon (NW4),834.6666666666666,843.0
Kentish Town (NW5),1282.0,1336.0
Leyton (E10),890.0,940.0
Leytonstone (E11),804.0,804.0
London E1 (E1),899.1428571428571,899.1428571428571
London E3 (E3),1027.0,1027.0
London NW2 (NW2),1060.0,1060.0
London SE25 (SE25),875.0,875.0
Manor Park (E12),1770.6,1770.6
Mile End (E3),792.5,821.6666666666666
North Greenwich (SE10),1100.0,1140.0
Notting Hill (W2),2468.5714285714284,2468.5714285714284
Old Street (N1),857.125,888.375
Peckham (SE15),816.25,816.25
Shepherds Bush (W12),985.3,1017.8
Shoreditch (E2),1255.0,1269.2857142857142
South Kensington (SW7),2722.8571428571427,2722.8571428571427
Southfields (SW19),1220.0,1260.0
Stepney Green (E1),1062.5,1146.2857142857142
Stoke Newington (N16),1169.125,1187.875
Stratford (E15),925.4545454545455,963.4545454545455
Streatham (SW16),861.875,915.625
Streatham Hill (SW2),1095.0,1095.0
Surrey Quays (SE8),1116.6666666666667,1208.3333333333333
Tooting Bec (SW17),1055.0,1055.0
Tooting Broadway (SW17),901.0,934.125
Tottenham (N17),975.2857142857143,975.2857142857143
Walthamstow (E17),1325.0,1325.0
Wandsworth (SW18),1023.0,1023.0
West Ealing (W13),1404.8333333333333,1404.8333333333333
West Hampstead (NW6),1780.4285714285713,1948.5714285714287
Whitechapel (E1),1403.5714285714287,1414.2857142857142
Willesden Green (NW2),964.5,964.5
